Controlling Corporation ,Reporter ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ)
VALMONT GROUP HOLDINGS PTY LTD ,60094882210,12110,41087,411645
VENTURA MOTORS PROPRIETARY LIMITED ,67004235518,49318,3187,716754
VEOLIA WATER AUSTRALIA PTY LTD ,99061161279,77417,66909,1348342
VERMILION OIL AND GAS AUSTRALIA PTY LTD ,29113023591,59363,155,783723
VICINITY LIMITED ,90114757783,11198,237133,1061574
VICTORIA POWER NETWORKS PTY LTD ,37116940820,19977,1214868,3960424
VILLAGE ROADSHOW LIMITED ,43010672054,3953,61863,316704
VIRGIN AUSTRALIA HOLDINGS LIMITED ,54100686226,2576182,18104,37087849
VIVA ENERGY AUSTRALIA GROUP LTD ,60004400220,1088074,344609,15588375
VODAFONE HUTCHISON AUSTRALIA PTY LIMITED ,76096304620,115,172853,713643
WA COUNTRY HEALTH SERVICE ,28680145816,10095,48690,397796
WARRNAMBOOL CHEESE AND BUTTER FACTORY COMPANY HOLDINGS LIMITED ,15071945232,29311,47466,707731
WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED ,49000002728,127264,43478,1718716
WASTE ASSETS MANAGEMENT CORPORATION ,56784733957,147382,1363,35807
WATER CORPORATION ,28003434917,75477,649183,3568872
WESFARMERS LIMITED ,28008984049,1379581,2548761,29875185
WESTERN AREAS LTD ,68091049357,17019,44834,463624
WESTPAC BANKING CORPORATION ,33007457141,5783,160238,763130
WHITEHAVEN COAL LIMITED ,68124425396,690752,71095,3128361
WILMAR AUSTRALIA HOLDINGS PTY LIMITED ,79144972743,167896,85456,48986512
WOLLONGONG COAL LIMITED ,28111244896,308494,25972,139257
WOODSIDE PETROLEUM LTD. ,55004898962,10080219,7527,1309714413
WOOLWORTHS LTD ,88000014675,315311,2464023,10827243
YANCOAL AUSTRALIA LTD ,82111859119,1042459,207593,36782793
YARA PILBARA FERTILISERS PTY LTD ,74095441151,1611569,0,28414574
YFG SHOPPING CENTRES LTD PTY AS TRUSTEE FOR THE FU FAMILY TRUST,56853441699,0,50243,223303
YOLARNO PTY LTD ,95002255183,32729,17696,281520
